no,soal,kunci_jawaban
1,Apa yang dimaksud dengan komputer? (Jawab dalam 1-3 kalimat) ,Komputer adalah rangkaian mesin elektronik yang dapat bekerja sama. Sistem ini digunakan untuk memudahkan pekerjaan manusia. Komputer bekerja otomatis berdasarkan urutan instruksi atau program yang diberikan.
2,Sebutkan keuntungan-keuntungan yang bisa diperoleh dari penerapan teknologi dalam kegiatan bisnis? (Sebutkan minimal 3) ,"- Memperluas pemasaran sehingga tidak mempermasalahkan jarak dan waktu - Mengurangi biaya produksi, promosi - Mempermudah penyimpanan data penjualan, data barang maupun laporan keuangan - Menggantikan pekerjaan manual menjadi otomatis - Proses produksi lebih cepat dan praktis"
3,Jelaskan yang dimaksud dengan hardware dan berikan contohnya (minimal 5). ,"Hardware (perangkat keras) adalah suatu komponen yang ada pada komputer, bisa dilihat secara kasat mata dan dapat disentuh secara fisik. Contoh : mouse, monitor, keyboard, printer, kamera, cpu, kabel, router, bridge, hub."
4,"Apa perbedaan dari data, informasi dan pengetahuan? ","Data merupakan rangkaian fakta yang mewakili suatu kejadian, atau dapat di sebut dengan simbol yang terekam. Informasi adalah makna yang dapat di tafsirkan dari data. Pengetahuan adalah informasi yang telah dimaknai sehingga dapat digunakan untuk meningkatkan pengertian atau pemahaman."
5,Bagaimana cara mengatasi sampah elektronik (e-waste)? (Sebutkan minimal 3) ,- Mendaur ulang sampah elektronik menjadi barang yang berguna dan memiliki nilai jual - Memisahkan barang elektronik sesuai komposisi bahannya - tidak membuang sembarangan sehingga karena dapat mencemari lingkungan - Dikembalikan kepada produsen elektronik
6,Apa yang dimaksud dengan volatile memory? ,"Volatile memory adalah memory yang datanya dapat ditulis dan dihapus, tetapi hilang saat kehilangan power (kondisi off atau mati lampu)."
7,"Apa kepanjangan dari LCD, CPU dan GPS? ","LCD (Liquid Crystal Display), CPU (Central Processing Unit), GPS (Global Positioning System)"
8,Sebutkan nama versi android dari Cupcake hingga saat ini. ,"Cupcake, Donut, Eclair, Froyo, Gingerbread, Honeycomb, Ice Cream Sandwich, Jelly Bean, KitKat dan Lolypop."
9,Apa yang dimaksud topologi jaringan LAN dan sebutkan contoh topologi tersebut (minimal 3). ,"Topologi jaringan adalah struktur jaringan fisik yang digunakan untuk implementasi LAN (local area network). Unsur dasar penyusun jaringan, yaitu node, link, dan station. Contoh Topologi bintang (star) , Topologi cincin (ring) , Topologi bus, Topologi pohon (tree), Topologi linier"
10,Apa yang dimaksud dengan Bluetooth? ,Bluetooth adalah perangkat yang menjadi media tukar menukar (menerima mengirim) informasi di antara peralatan eketronik. Bluetooth merupakan media tanpa kabel. Biasanya bluethooth digunakan untuk mengirim foto atau file antar handphone.